QQMPolyRingElem[x1 1 1 1 1 1 1],26,26,120,120,10
QQMPolyRingElem[1 x1 x1 x1 x1 x1 x1],18,18,36,36,9
QQMPolyRingElem[1 x1 1 1 1 1 1],52,52,792,792,12
QQMPolyRingElem[x1 1 x1 x1 x1 x1 x1],44,44,330,330,11
QQMPolyRingElem[1 1 x1 1 1 1 1],44,44,120,120,10
QQMPolyRingElem[x1 x1 1 x1 x1 x1 x1],44,44,120,120,10
QQMPolyRingElem[1 1 1 x1 1 1 1],44,44,120,120,10
QQMPolyRingElem[x1 x1 x1 1 x1 x1 x1],44,44,120,120,10
QQMPolyRingElem[1 1 1 1 x1 1 1],12,12,330,330,11
QQMPolyRingElem[x1 x1 x1 x1 1 x1 x1],10,10,120,120,10
QQMPolyRingElem[1 1 1 1 1 x1 1],7,7,36,36,9
QQMPolyRingElem[x1 x1 x1 x1 x1 1 x1],12,12,330,330,11
QQMPolyRingElem[1 1 1 1 1 1 x1],7,7,36,36,9
QQMPolyRingElem[x1 x1 x1 x1 x1 x1 1],9,9,120,120,10
QQMPolyRingElem[x2 1 1 1 1 1 1],26,26,120,120,10
QQMPolyRingElem[1 x2 x2 x2 x2 x2 x2],17,17,36,36,9
QQMPolyRingElem[1 x2 1 1 1 1 1],52,52,792,792,12
QQMPolyRingElem[x2 1 x2 x2 x2 x2 x2],30,30,120,120,10
QQMPolyRingElem[1 1 x2 1 1 1 1],44,44,120,120,10
QQMPolyRingElem[x2 x2 1 x2 x2 x2 x2],29,29,36,36,9
QQMPolyRingElem[1 1 1 x2 1 1 1],44,44,120,120,10
QQMPolyRingElem[x2 x2 x2 1 x2 x2 x2],29,29,36,36,9
QQMPolyRingElem[1 1 1 1 x2 1 1],9,9,120,120,10
QQMPolyRingElem[x2 x2 x2 x2 1 x2 x2],10,10,120,120,10
QQMPolyRingElem[1 1 1 1 1 x2 1],9,9,120,120,10
QQMPolyRingElem[x2 x2 x2 x2 x2 1 x2],10,10,120,120,10
QQMPolyRingElem[1 1 1 1 1 1 x2],3,3,8,8,8
QQMPolyRingElem[x2 x2 x2 x2 x2 x2 1],9,9,120,120,10
QQMPolyRingElem[x3 1 1 1 1 1 1],26,26,120,120,10
QQMPolyRingElem[1 x3 x3 x3 x3 x3 x3],18,18,36,36,9
QQMPolyRingElem[1 x3 1 1 1 1 1],52,52,792,792,12
QQMPolyRingElem[x3 1 x3 x3 x3 x3 x3],44,44,330,330,11
QQMPolyRingElem[1 1 x3 1 1 1 1],44,44,120,120,10
QQMPolyRingElem[x3 x3 1 x3 x3 x3 x3],44,44,120,120,10
QQMPolyRingElem[1 1 1 x3 1 1 1],44,44,120,120,10
QQMPolyRingElem[x3 x3 x3 1 x3 x3 x3],44,44,120,120,10
QQMPolyRingElem[1 1 1 1 x3 1 1],7,7,36,36,9
QQMPolyRingElem[x3 x3 x3 x3 1 x3 x3],12,12,330,330,11
QQMPolyRingElem[1 1 1 1 1 x3 1],12,12,330,330,11
QQMPolyRingElem[x3 x3 x3 x3 x3 1 x3],10,10,120,120,10
QQMPolyRingElem[1 1 1 1 1 1 x3],7,7,36,36,9
QQMPolyRingElem[x3 x3 x3 x3 x3 x3 1],9,9,120,120,10
QQMPolyRingElem[x4 1 1 1 1 1 1],13,13,36,36,9
QQMPolyRingElem[1 x4 x4 x4 x4 x4 x4],26,26,120,120,10
QQMPolyRingElem[1 x4 1 1 1 1 1],39,39,330,330,11
QQMPolyRingElem[x4 1 x4 x4 x4 x4 x4],43,43,330,330,11
QQMPolyRingElem[1 1 x4 1 1 1 1],44,44,120,120,10
QQMPolyRingElem[x4 x4 1 x4 x4 x4 x4],26,26,36,36,9
QQMPolyRingElem[1 1 1 x4 1 1 1],44,44,120,120,10
QQMPolyRingElem[x4 x4 x4 1 x4 x4 x4],26,26,36,36,9
QQMPolyRingElem[1 1 1 1 x4 1 1],7,7,36,36,9
QQMPolyRingElem[x4 x4 x4 x4 1 x4 x4],12,12,330,330,11
QQMPolyRingElem[1 1 1 1 1 x4 1],7,7,36,36,9
QQMPolyRingElem[x4 x4 x4 x4 x4 1 x4],12,12,330,330,11
QQMPolyRingElem[1 1 1 1 1 1 x4],9,9,120,120,10
QQMPolyRingElem[x4 x4 x4 x4 x4 x4 1],7,7,36,36,9
QQMPolyRingElem[x5 1 1 1 1 1 1],26,26,120,120,10
QQMPolyRingElem[1 x5 x5 x5 x5 x5 x5],26,26,120,120,10
QQMPolyRingElem[1 x5 1 1 1 1 1],52,52,792,792,12
QQMPolyRingElem[x5 1 x5 x5 x5 x5 x5],43,43,330,330,11
QQMPolyRingElem[1 1 x5 1 1 1 1],44,44,120,120,10
QQMPolyRingElem[x5 x5 1 x5 x5 x5 x5],29,29,36,36,9
QQMPolyRingElem[1 1 1 x5 1 1 1],44,44,120,120,10
QQMPolyRingElem[x5 x5 x5 1 x5 x5 x5],29,29,36,36,9
QQMPolyRingElem[1 1 1 1 x5 1 1],9,9,120,120,10
QQMPolyRingElem[x5 x5 x5 x5 1 x5 x5],10,10,120,120,10
QQMPolyRingElem[1 1 1 1 1 x5 1],9,9,120,120,10
QQMPolyRingElem[x5 x5 x5 x5 x5 1 x5],10,10,120,120,10
QQMPolyRingElem[1 1 1 1 1 1 x5],6,6,36,36,9
QQMPolyRingElem[x5 x5 x5 x5 x5 x5 1],7,7,36,36,9
[1 1 1 1 1 1 1],4,4,8,8,8
